godina;Datum;Volume;JedMj;Lokacija;Energija
2024;2024-01-01;5.20832820;spremnik (1100 l);Lokacija-2853;Garbage
2024;2024-01-01;5.25441960;spremnik (1100 l);Lokacija-577;Garbage
2024;2024-01-01;5.33461005;m3;Lokacija-2297;Water
2024;2024-01-01;5.34890697;spremnik (1100 l);Lokacija-3494;Garbage
2024;2024-01-01;5.42307150;m3;Lokacija-3988;Water
2024;2024-01-01;5.43187149;spremnik (1100 l);Lokacija-2056;Garbage
2024;2024-01-01;5.44569891;spremnik (1100 l);Lokacija-3898;Garbage
2024;2024-01-01;5.56092741;spremnik (1100 l);Lokacija-1657;Garbage
2024;2024-01-01;5.56537905;m3;Lokacija-1026;Water
2024;2024-01-01;5.56922520;m3;Lokacija-4038;Water
2024;2024-01-01;5.64614820;m3;Lokacija-4557;Water
2024;2024-01-01;5.75384040;m3;Lokacija-636;Water
2024;2024-01-01;5.76142500;spremnik (1100 l);Lokacija-3790;Garbage
2024;2024-01-01;5.76142500;spremnik (1100 l);Lokacija-3552;Garbage
2024;2024-01-01;5.78845575;m3;Lokacija-2949;Water
2024;2024-01-01;5.80521183;spremnik (1100 l);Lokacija-4030;Garbage
2024;2024-01-01;5.81443011;spremnik (1100 l);Lokacija-4537;Garbage
2024;2024-01-01;5.83076340;m3;Lokacija-1185;Water
2024;2024-01-01;5.86153260;m3;Lokacija-4692;Water
2024;2024-01-01;5.91122205;spremnik (1100 l);Lokacija-2316;Garbage
2024;2024-01-01;5.95731345;spremnik (1100 l);Lokacija-2911;Garbage
2024;2024-01-01;5.97575001;spremnik (1100 l);Lokacija-1491;Garbage
2024;2024-01-01;5.98266372;spremnik (1100 l);Lokacija-3560;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-4308;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-98;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-598;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-1179;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-724;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-158;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-3632;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-106;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-1466;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-156;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-4849;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-850;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-3093;Garbage
2024;2024-01-01;5.98727286;spremnik (1100 l);Lokacija-3134;Garbage
2024;2024-01-01;6.23460915;m3;Lokacija-249;Water
2024;2024-01-01;6.26382126;spremnik (1100 l);Lokacija-1752;Garbage
2024;2024-01-01;6.34448121;spremnik (1100 l);Lokacija-3177;Garbage
2024;2024-01-01;6.35830863;spremnik (1100 l);Lokacija-1727;Garbage
2024;2024-01-01;6.35830863;spremnik (1100 l);Lokacija-4655;Garbage
2024;2024-01-01;6.35830863;spremnik (1100 l);Lokacija-1673;Garbage
2024;2024-01-01;6.35830863;spremnik (1100 l);Lokacija-4282;Garbage
2024;2024-01-01;6.36522234;spremnik (1100 l);Lokacija-4324;Garbage
2024;2024-01-01;6.43435944;spremnik (1100 l);Lokacija-990;Garbage
2024;2024-01-01;6.52307040;m3;Lokacija-3851;Water
2024;2024-01-01;6.57493821;spremnik (1100 l);Lokacija-1315;Garbage
2024;2024-01-01;6.61642047;spremnik (1100 l);Lokacija-1883;Garbage
2024;2024-01-01;6.61642047;spremnik (1100 l);Lokacija-1286;Garbage
2024;2024-01-01;6.74778096;spremnik (1100 l);Lokacija-3495;Garbage
2024;2024-01-01;6.75383940;m3;Lokacija-3611;Water
2024;2024-01-01;6.86761860;spremnik (1100 l);Lokacija-1579;Garbage
2024;2024-01-01;6.98054253;spremnik (1100 l);Lokacija-1585;Garbage
2024;2024-01-01;6.98076225;m3;Lokacija-4620;Water
2024;2024-01-01;7.01153145;m3;Lokacija-1815;Water
2024;2024-01-01;7.01153145;m3;Lokacija-3929;Water
2024;2024-01-01;7.01153145;m3;Lokacija-2875;Water
2024;2024-01-01;7.01153145;m3;Lokacija-1213;Water
2024;2024-01-01;7.01511108;spremnik (1100 l);Lokacija-1932;Garbage
2024;2024-01-01;7.01511108;spremnik (1100 l);Lokacija-2035;Garbage
2024;2024-01-01;7.01511108;spremnik (1100 l);Lokacija-48;Garbage
2024;2024-01-01;7.01511108;spremnik (1100 l);Lokacija-383;Garbage
2024;2024-01-01;7.15568985;spremnik (1100 l);Lokacija-3974;Garbage
2024;2024-01-01;7.20383895;m3;Lokacija-1081;Water
2024;2024-01-01;7.26630921;spremnik (1100 l);Lokacija-657;Garbage
2024;2024-01-01;7.26922350;m3;Lokacija-2319;Water
2024;2024-01-01;7.35768495;m3;Lokacija-1733;Water
2024;2024-01-01;7.44999255;m3;Lokacija-342;Water
2024;2024-01-01;7.47141594;spremnik (1100 l);Lokacija-348;Garbage
2024;2024-01-01;7.57742616;spremnik (1100 l);Lokacija-953;Garbage
2024;2024-01-01;7.87932483;spremnik (1100 l);Lokacija-1965;Garbage
2024;2024-01-01;8.09999190;m3;Lokacija-156;Water
2024;2024-01-01;8.39229930;m3;Lokacija-383;Water
2024;2024-01-01;8.39229930;m3;Lokacija-134;Water
2024;2024-01-01;8.39324394;spremnik (1100 l);Lokacija-3642;Garbage
2024;2024-01-01;8.51308158;spremnik (1100 l);Lokacija-2143;Garbage
2024;2024-01-01;8.51308158;spremnik (1100 l);Lokacija-4380;Garbage
2024;2024-01-01;8.51308158;spremnik (1100 l);Lokacija-780;Garbage
2024;2024-01-01;8.51308158;spremnik (1100 l);Lokacija-1496;Garbage
2024;2024-01-01;8.51308158;spremnik (1100 l);Lokacija-2162;Garbage
2024;2024-01-01;8.53076070;m3;Lokacija-20;Water
2024;2024-01-01;8.62600551;spremnik (1100 l);Lokacija-1622;Garbage
2024;2024-01-01;9.23845230;m3;Lokacija-4655;Water
2024;2024-01-01;9.63310260;spremnik (1100 l);Lokacija-3739;Garbage
2024;2024-01-01;9.63540717;spremnik (1100 l);Lokacija-395;Garbage
2024;2024-01-01;9.63540717;spremnik (1100 l);Lokacija-250;Garbage
2024;2024-01-01;9.81537480;m3;Lokacija-1361;Water
2024;2024-01-01;10.62413707;m3;Lokacija-2309;Gas
2024;2024-01-01;10.75312362;spremnik (1100 l);Lokacija-792;Garbage
2024;2024-01-01;10.88845065;m3;Lokacija-3128;Water
2024;2024-01-01;10.94998905;m3;Lokacija-4230;Water
2024;2024-01-01;10.95131664;spremnik (1100 l);Lokacija-682;Garbage
2024;2024-01-01;11.66921910;m3;Lokacija-3870;Water
2024;2024-01-01;11.70491103;spremnik (1100 l);Lokacija-2057;Garbage
2024;2024-01-01;11.97454572;spremnik (1100 l);Lokacija-1983;Garbage
2024;2024-01-01;12.54377451;spremnik (1100 l);Lokacija-4684;Garbage
2024;2024-01-01;12.71661726;spremnik (1100 l);Lokacija-926;Garbage
2024;2024-01-01;12.90559200;spremnik (1100 l);Lokacija-2180;Garbage
2024;2024-01-01;13.43075580;m3;Lokacija-4324;Water
2024;2024-01-01;14.09613975;m3;Lokacija-4017;Water
2024;2024-01-01;14.11549125;spremnik (1100 l);Lokacija-4182;Garbage
2024;2024-01-01;14.27450658;spremnik (1100 l);Lokacija-4692;Garbage
2024;2024-01-01;14.45426304;spremnik (1100 l);Lokacija-2691;Garbage
2024;2024-01-01;14.96253179;m3;Lokacija-4557;Gas
2024;2024-01-01;15.46596927;spremnik (1100 l);Lokacija-17;Garbage
2024;2024-01-01;18.19228950;m3;Lokacija-1491;Water
2024;2024-01-01;19.01151945;m3;Lokacija-4633;Water
2024;2024-01-01;19.21780923;spremnik (1100 l);Lokacija-2394;Garbage
2024;2024-01-01;22.87327896;kWh;Lokacija-1361;Electicity
2024;2024-01-01;23.36745474;kWh;Lokacija-2297;Electicity
2024;2024-01-01;23.83847208;spremnik (1100 l);Lokacija-3597;Garbage
2024;2024-01-01;25.39852685;Litara;Vozilo-1301;Diesel
2024;2024-01-01;35.91672345;spremnik (1100 l);Lokacija-2160;Garbage
2024;2024-01-01;43.69925826;kWh;Lokacija-4761;Electicity
2024;2024-01-01;43.69925826;kWh;Lokacija-4246;Electicity
2024;2024-01-01;43.69925826;kWh;Lokacija-1213;Electicity
