vehicle_type,fuel,vehicle_class,euro_standard,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion
Osobno vozilo,SPP (CNG),Mala klasa vozila,EURO 5,0.199795,0.000075,0.000002,0.202469,0.001133,0.0000135,0.00000000203,0.001538,0.165662,0.000061,0.000002,0.167930
Osobno vozilo,SPP (CNG),Mala klasa vozila,EURO 6,0.265250,0.000104,0.000002,0.268910,0.001577,0.0000188,0.00000000283,0.002142,0.230673,0.000085,0.000002,0.233768
Osobno vozilo,SPP (CNG),Srednja klasa vozila,EURO 4,0.199365,0.000075,0.000002,0.202123,0.001130,0.0000135,0.00000000202,0.001534,0.165236,0.000061,0.000002,0.167589
Osobno vozilo,SPP (CNG),Srednja klasa vozila,EURO 5,0.203835,0.000077,0.000002,0.206580,0.001160,0.0000138,0.00000000208,0.001576,0.169675,0.000063,0.000002,0.172004
Osobno vozilo,SPP (CNG),Srednja klasa vozila,EURO 6,0.255590,0.000100,0.000002,0.259096,0.001512,0.0000180,0.00000000271,0.002053,0.221078,0.000082,0.000002,0.224043
Osobno vozilo,SPP (CNG),Velika klasa i SUV vozila,EURO 4,0.201834,0.000076,0.000002,0.204635,0.001147,0.0000137,0.00000000205,0.001557,0.167688,0.000062,0.000002,0.170078
Osobno vozilo,SPP (CNG),Velika klasa i SUV vozila,EURO 5,0.204103,0.000077,0.000002,0.206853,0.001162,0.0000139,0.00000000208,0.001578,0.169941,0.000063,0.000002,0.172275
L-kategorija vozila,Benzin,Moped 2-taktni <50 cm³,EURO 1 i 2 i 3,0.124965,0.000130,0.000002,0.129388,0.000325,0.00000557,0.00000000347,0.000493,0.087940,0.000124,0.000002,0.092195
L-kategorija vozila,Benzin,Moped 2-taktni <50 cm³,EURO 4,0.085643,0.000015,0.000002,0.086627,0.000181,0.00000310,0.00000000193,0.000275,0.048762,0.000012,0.000002,0.049652
L-kategorija vozila,Benzin,Moped 4-taktni <50 cm³,EURO 1 i 2 i 3,0.096742,0.000098,0.000002,0.100212,0.000222,0.00000380,0.00000000237,0.000336,0.059820,0.000094,0.000002,0.063176
L-kategorija vozila,Benzin,Moped 4-taktni <50 cm³,EURO 4,0.086642,0.000058,0.000002,0.088902,0.000185,0.00000316,0.00000000197,0.000280,0.049757,0.000055,0.000002,0.051921
L-kategorija vozila,Benzin,Motocikli 2-taktni >50 cm³,EURO 1 i 2 i 3,0.124965,0.000130,0.000002,0.129388,0.000325,0.00000557,0.00000000347,0.000493,0.087940,0.000124,0.000002,0.092195
L-kategorija vozila,Benzin,Motocikli 2-taktni >50 cm³,EURO 4,0.085643,0.000015,0.000002,0.086627,0.000181,0.00000310,0.00000000193,0.000275,0.048762,0.000012,0.000002,0.049652
L-kategorija vozila,Benzin,Motocikli 4-taktni <250 cm³,EURO 1 i 2 i 3,0.096742,0.000098,0.000002,0.100212,0.000222,0.00000380,0.00000000237,0.000336,0.059820,0.000094,0.000002,0.063176
L-kategorija vozila,Benzin,Motocikli 4-taktni <250 cm³,EURO 4,0.086642,0.000058,0.000002,0.088902,0.000185,0.00000316,0.00000000197,0.000280,0.049757,0.000055,0.000002,0.051921
L-kategorija vozila,Benzin,Motocikli 4-taktni 250 - 750 cm³,EURO 1 i 2 i 3,0.177849,0.000119,0.000002,0.181960,0.000521,0.00000891,0.00000000556,0.000789,0.140628,0.000110,0.000002,0.144470
L-kategorija vozila,Benzin,Motocikli 4-taktni 250 - 750 cm³,EURO 4,0.162367,0.000072,0.000002,0.165043,0.000464,0.00000795,0.00000000496,0.000704,0.125203,0.000064,0.000002,0.127639
L-kategorija vozila,Benzin,Motocikli 4-taktni >750 cm³,EURO 1 i 2 i 3,0.185204,0.000081,0.000002,0.188185,0.000548,0.00000938,0.00000000585,0.000831,0.147956,0.000072,0.000002,0.150653
